genomicsSampleID	soilInWaterpH	soilInCaClpH
BONA_001-M-20190830-COMP	4.244016598042822	3.5264201666596438
BONA_001-O-20190830-COMP	4.382008584837817	3.5854296259974285
BONA_002-M-20190828-COMP	4.8905689675004425	4.18030629561811
BONA_002-O-20190828-COMP	4.656668976198325	3.872510770916901
BONA_004-M-20190830-COMP	4.859738844104635	3.9374913412495136
BONA_004-O-20190830-COMP	4.144823078895774	3.3205280708807954
BONA_006-M-20190828-COMP	4.160099786050325	3.349813063103226
BONA_006-O-20190828-COMP	4.198207642974911	3.14966603883718
BONA_009-M-20190828-COMP	4.585867013792374	3.8741203225844125
BONA_009-O-20190828-COMP	4.450040470302495	3.6042318721780466
BONA_013-M-20190828-COMP	4.579515238073099	3.667520470183583
BONA_013-O-20190828-COMP	4.218340937307216	3.4552836425262807
BONA_070-M-20190826-COMP	4.920843835705682	4.224983076929779
BONA_070-O-20190826-COMP	4.67427989476056	3.618280525564642
BONA_071-M-20190826-COMP	4.992893255726082	4.144127782271529
BONA_071-O-20190826-COMP	4.262704590950701	3.411793180226391
BONA_080-M-20190826-COMP	4.982747879259006	4.118644262331265
BONA_080-O-20190826-COMP	4.432692637816819	3.52498509761546
BONA_084-M-20190830-COMP	5.237811317077787	4.393805270815913
BONA_084-O-20190830-COMP	5.132295808373139	4.506425606222746
DEJU_001-M-20180619-COMP	5.342141408440854	4.664858276415403
DEJU_001-O-20180619-COMP	4.5009188302711545	3.9986210032444096
DEJU_002-M-20180619-COMP	5.747362545064845	4.9226554479994755
DEJU_002-O-20180619-COMP	5.169443428514978	4.426998060747273
DEJU_006-M-20180618-COMP	4.440810543555248	3.8387054141622823
DEJU_006-O-20180618-COMP	2.744961090219772	3.3839108031488068
DEJU_009-M-20180619-COMP	5.211089078656261	4.595951572688747
DEJU_009-O-20180619-COMP	4.678249370775009	3.970820184322592
DEJU_014-M-20180618-COMP	5.547209992646872	5.460438284066558
DEJU_014-O-20180618-COMP	5.543661224748638	4.528764603450032
DEJU_015-M-20180619-COMP	5.315933194106	4.705326030651657
DEJU_015-O-20180619-COMP	4.383599716678373	3.699293122095833
DEJU_045-M-20180621-COMP	5.581425086108062	4.866184627314189
DEJU_045-O-20180621-COMP	4.761140163632029	3.9640928896270258
DEJU_046-M-20180621-COMP	5.245377504099724	4.622733850182748
DEJU_046-O-20180621-COMP	4.680953939907961	3.7983722168222527
DEJU_047-M-20180621-COMP	5.231130644711638	4.395988149974949
DEJU_047-O-20180621-COMP	4.70144325968978	4.018863137669841
DEJU_048-M-20180621-COMP	5.269510651879143	4.647947309410978
DEJU_048-O-20180621-COMP	4.633519877416339	3.7496209580531312
TOOL_001-M-20170721-COMP	5.49278644520483	4.2868688857093
TOOL_001-O-20170721-COMP	5.300194159082703	4.56307855221063
TOOL_002-M-20170721-COMP	5.81487306917794	4.968492510328141
TOOL_002-O-20170721-COMP	6.005333801113223	5.794047579760785
TOOL_003-O-20170726-COMP	6.1675980113636255	5.6704370224512095
TOOL_004-M-20170726-COMP	5.8466073425227565	4.6397388441046346
TOOL_004-O-20170726-COMP	5.1575158505928504	4.491698947597886
TOOL_005-M-20170721-COMP	5.27493433383689	4.214530095448943
TOOL_005-O-20170721-COMP	5.1805667997075275	4.206962826506201
TOOL_006-M-20170721-COMP	5.4346914054906446	4.703293956243305
TOOL_006-O-20170721-COMP	5.595411439314352	4.788817269991247
TOOL_041-M-20170719-COMP	NA	NA
TOOL_041-O-20170719-COMP	5.021684112233453	3.963769919454013
TOOL_042-M-20170719-COMP	5.738882997402769	4.457730939812126
TOOL_042-O-20170719-COMP	5.326987634736353	4.582073931170765
TOOL_043-M-20170719-COMP	5.79	4.4
TOOL_043-O-20170719-COMP	4.907940008672037	3.8630286486917944
TOOL_044-M-20170719-COMP	NA	NA
TOOL_044-O-20170719-COMP	5.07005266196066	4.70566639868066
